text,label,lang
"Desjardins: votre compte a ete temporairement bloque. Verifiez votre identite ici: http://desjardins-securite.xyz/login",fraud,fr
"ARC: Vous avez un remboursement d'impot de 458,20$ en attente. Reclamez-le: http://arc-remboursement.ca-impot.top",fraud,fr
"Postes Canada: votre colis est en attente de frais de douane de 2,99$. Payez ici: http://postescanada-livraison.click",fraud,fr
"Bonjour grand-maman, c'est moi. J'ai change de numero. J'ai eu un accident, peux-tu m'envoyer 500$ par Interac?",fraud,fr
"Felicitations! Vous avez gagne un iPhone 15. Reclamez votre prix maintenant: bit.ly/prix-gratuit",fraud,fr
"Avis 407 ETR: peage impaye de 6,48$. Reglez sous 24h pour eviter des penalites: http://407etr-paiement.top",fraud,fr
"Votre carte a ete utilisee pour une transaction suspecte. Confirmez votre NIP ou repondez avec votre numero de carte.",fraud,fr
"RBC: activite inhabituelle detectee. Cliquez pour securiser votre compte: http://rbc-secure-login.xyz",fraud,fr
"Service Canada: votre numero d'assurance sociale a ete suspendu. Appelez immediatement le 438-555-0142.",fraud,fr
"Investissement crypto: rendement garanti de 30% par mois. Place limitee. Repondez OUI pour profiter.",fraud,fr
"Votre paiement Netflix a echoue. Mettez a jour vos informations: http://netflix-paiement.account-verify.top",fraud,fr
"Vous avez une amende impayee. Un mandat d'arrestation sera emis. Payez en carte cadeau Google Play immediatement.",fraud,fr
"Revenu Quebec: trop-percu de 712$. Confirmez vos coordonnees bancaires: http://revenuquebec.remboursement-qc.xyz",fraud,fr
"Maman c'est moi j'ai perdu mon telephone, voici mon nouveau numero. J'ai besoin que tu paies une facture urgente STP.",fraud,fr
"Tangerine: connexion suspecte depuis un nouvel appareil. Verifiez: http://tangerine-verification.click/secure",fraud,fr
"Offre d'emploi: travaillez a domicile, gagnez 800$/jour. Aucune experience. Cliquez: http://emploi-facile.top",fraud,fr
"Votre colis UPS n'a pas pu etre livre. Reprogrammez la livraison: http://ups-redelivery.link/ca",fraud,fr
"Alerte securite Interac: un virement de 950$ est en attente. Annulez ici: http://interac-virement.secure-ca.xyz",fraud,fr
"Votre forfait Bell arrive a echeance. Profitez d'un remboursement de 50$, cliquez: http://bell-remboursement.click",fraud,fr
"Microsoft: votre ordinateur est infecte par un virus. Appelez le support technique au 1-844-555-0177 immediatement.",fraud,fr
"CRA: You have a tax refund of $458.20 pending. Claim it now: http://cra-refund.gc-ca.top",fraud,en
"Canada Post: your parcel is held pending a $2.99 customs fee. Pay here: http://canadapost-delivery.click",fraud,en
"Your TD account has been locked due to suspicious activity. Verify now: http://td-secure-login.xyz",fraud,en
"Hi grandma it's me, I lost my phone, this is my new number. I had an accident, can you send $500 by e-transfer?",fraud,en
"Congratulations! You won a $1000 Amazon gift card. Claim your prize: bit.ly/free-prize-now",fraud,en
"407 ETR notice: unpaid toll of $6.48. Pay within 24h to avoid penalties: http://407etr-pay.top",fraud,en
"Your card was used for a suspicious transaction. Confirm your PIN or reply with your card number to cancel.",fraud,en
"Service Canada: your Social Insurance Number has been suspended. Call immediately 438-555-0142.",fraud,en
"Crypto investment with guaranteed 30% monthly returns. Limited spots. Reply YES to start now.",fraud,en
"Your Netflix payment failed. Update your billing info: http://netflix-billing.verify-account.top",fraud,en
"You have an unpaid fine. A warrant will be issued. Pay with Google Play gift cards immediately.",fraud,en
"Amazon: unusual sign-in detected. Secure your account here: http://amazon-secure.account-verify.xyz",fraud,en
"UPS: your package could not be delivered. Reschedule delivery: http://ups-redelivery.link/ca",fraud,en
"Work from home and earn $800/day, no experience needed. Apply: http://easy-job.top",fraud,en
"Interac alert: a $950 transfer is pending. Cancel it here: http://interac-transfer.secure-ca.xyz",fraud,en
"Microsoft support: your computer is infected. Call tech support 1-844-555-0177 right away.",fraud,en
"URGENT: repondez avec votre code de verification a 6 chiffres pour confirmer votre identite bancaire.",fraud,fr
"Bonjour, je suis votre nouveau conseiller Desjardins. Pour valider votre dossier, envoyez-moi votre NIP et numero de carte.",fraud,fr
"You've been selected for a government grant of $9,000. Send a $200 processing fee via gift card to claim.",fraud,en
"Papa, c'est urgent, je suis en prison, il faut payer la caution de 2000$ par virement maintenant.",fraud,fr
"Dernier avis: votre compte Desjardins sera ferme dans 24h. Confirmez vos identifiants: http://desjardins-acces.verify.top",fraud,fr
"Final notice: your CIBC account will be closed in 24h. Confirm your login: http://cibc-access.verify.top",fraud,en
"Vous avez gagne une carte-cadeau Tim Hortons de 100$! Reclamez ici: http://tim-cadeau.click",fraud,fr
"You've won a $100 Tim Hortons gift card! Claim here: http://tim-reward.click",fraud,en
